season,week,date,time_et,game_type,away,home,rank_away,rank_home,conf_away,conf_home,neutral,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,total_yards_away,total_yards_home,fum_away,fum_home,int_away,int_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,possession_away,possession_home,attendance,tv
2002,1.0,2002-08-22,7:30 PM,regular,Colorado State,Virginia,,,mwc,acc,False,35,29,6.0,13.0,3.0,13.0,0.0,0.0,7.0,14.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57120.0,
2002,1.0,2002-08-23,8:00 PM,regular,Fresno State,Wisconsin,,25.0,wac,big10,False,21,23,7.0,0.0,7.0,7.0,0.0,0.0,10.0,7.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75136.0,
2002,1.0,2002-08-24,2:30 PM,regular,Texas Tech,Ohio State,,13.0,big12,big10,False,21,45,7.0,0.0,0.0,14.0,0.0,14.0,7.0,17.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100037.0,
2002,1.0,2002-08-24,4:30 PM,regular,New Mexico,NC State,,,mwc,acc,False,14,34,0.0,0.0,7.0,7.0,0.0,7.0,14.0,6.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47018.0,
2002,1.0,2002-08-24,7:45 PM,regular,Arizona State,Nebraska,,10.0,pac12,big12,False,10,48,3.0,0.0,7.0,0.0,0.0,3.0,7.0,14.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77779.0,
2002,1.0,2002-08-24,8:30 PM,regular,Florida State,Iowa State,3.0,,acc,big12,False,38,31,17.0,14.0,0.0,7.0,0.0,0.0,14.0,3.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55132.0,
2002,1.0,2002-08-25,2:30 PM,regular,Arkansas State,Virginia Tech,,16.0,sun-belt,big-east,False,7,63,0.0,0.0,7.0,0.0,0.0,35.0,21.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54016.0,
2002,2.0,2002-08-29,7:00 PM,regular,Cal Poly SLO,Toledo,,,,mac,False,16,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23074.0,
2002,2.0,2002-08-29,7:00 PM,regular,New Hampshire,Kent State,,,,mac,False,7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16073.0,
2002,2.0,2002-08-29,7:00 PM,regular,Richmond,Temple,,,,big-east,False,7,34,7.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15329.0,
2002,2.0,2002-08-29,7:00 PM,regular,Florida Atlantic,USF,,,,ind,False,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22074.0,
2002,2.0,2002-08-29,7:00 PM,regular,Tennessee Tech,Bowling Green,,,,mac,False,7,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15696.0,
2002,2.0,2002-08-29,7:30 PM,regular,Syracuse,BYU,,,big-east,mwc,False,21,42,7.0,7.0,7.0,0.0,0.0,7.0,14.0,6.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65612.0,
2002,2.0,2002-08-29,7:30 PM,regular,Lehigh,Buffalo,,,,mac,False,37,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21103.0,
2002,2.0,2002-08-29,7:30 PM,regular,Sam Houston State,Central Michigan,,,,mac,False,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18826.0,
2002,2.0,2002-08-29,7:30 PM,regular,Indiana State,Western Michigan,,,,mac,False,17,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28268.0,
2002,2.0,2002-08-29,7:35 PM,regular,Wake Forest,Northern Illinois,,,acc,mac,False,41,42,14.0,7.0,14.0,0.0,6.0,7.0,10.0,7.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19653.0,
2002,2.0,2002-08-29,10:00 PM,regular,Eastern Kentucky,Oregon State,,,,pac12,False,10,49,7.0,3.0,0.0,0.0,0.0,14.0,21.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2.0,2002-08-29,10:00 PM,regular,San Diego State,Fresno State,,,mwc,wac,False,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39111.0,
2002,2.0,2002-08-30,8:00 PM,regular,Oklahoma,Tulsa,1.0,,big12,wac,False,37,0,3.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40385.0,
