season,week,date,time_et,game_type,away,home,rank_away,rank_home,conf_away,conf_home,neutral,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,total_yards_away,total_yards_home,fum_away,fum_home,int_away,int_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,possession_away,possession_home,attendance,tv,home_nces_name,home_lat,home_lon,away_nces_name,away_lat,away_lon,game_lat,game_lon,processed_time
2002,8,2002-10-12,3:30 PM,regular,Texas,Oklahoma,3,2,big12,big12,True,24,35,7,7,3,7,0,3,8,3,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75587,,University of Oklahoma-Norman Campus,35.209407,-97.444211,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2002,,2003-01-03,8:00 PM,post,Ohio State,Miami (FL),2,1,big10,big-east,True,31,24,0,14,3,0,14,7,0,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Miami,25.72126,-80.278662,Ohio State University-Main Campus,39.999324,-83.014853,,,2025-10-25 15:33:50
2003,8,2003-10-11,3:30 PM,regular,Oklahoma,Texas,1,11,big12,big12,True,65,13,14,23,14,14,0,7,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75587,ABC Regional,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2004,10,2004-10-30,3:30 PM,regular,Florida,Georgia,,10,sec,sec,True,24,31,7,0,7,10,0,14,7,3,7,0,22,21,6,14,4,12,0,0,2,2,22,35,275,15,23,255,35,211,38,150,458,405,0,1,0,0,0,0,0,0,19.42,17.23,,,University of Georgia,33.956262,-83.374039,University of Florida,29.64629,-82.347911,,,2025-10-25 15:33:50
2005,6,2005-10-08,1:00 PM,regular,Oklahoma,Texas,,2,big12,big12,True,12,45,6,0,0,6,0,14,10,7,14,0,12,20,6,18,6,15,1,1,2,2,12,33,115,14,27,255,33,77,40,203,171,444,2,1,1,0,0,0,0,0,18.08,18.32,,ABC,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2006,6,2006-10-07,3:30 PM,regular,Texas,Oklahoma,7,14,big12,big12,True,28,10,7,0,14,7,0,0,10,0,0,0,13,13,3,10,8,16,0,0,1,1,11,18,123,15,27,229,32,124,36,124,232,333,0,3,0,2,3,30,11,72,17.02,18.9,76260,ABC,University of Oklahoma-Norman Campus,35.209407,-97.444211,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2007,6,2007-10-06,3:30 PM,regular,Oklahoma,Texas,10,19,big12,big12,True,28,21,7,7,7,7,0,0,14,0,7,0,20,16,9,18,5,12,0,0,0,1,21,32,254,19,26,350,41,170,29,61,414,385,0,1,0,1,9,87,9,69,19.52,17.15,80000,,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2008,1,2008-08-30,12:00 PM,regular,Virginia Tech,East Carolina,17,,acc,cusa,True,22,27,0,14,2,6,0,0,7,6,14,0,12,19,5,12,7,13,0,2,0,2,14,23,151,19,25,211,35,104,41,158,243,369,0,2,2,0,1,1,6,60,16.2,20.33,72169,ESPN,East Carolina University,35.607186,-77.368291,Virginia Polytechnic Institute and State University,37.229012,-80.423675,,,2025-10-25 15:33:50
2008,1,2008-08-30,8:30 PM,regular,Illinois,Missouri,20,6,big10,big12,True,42,52,6,7,15,14,0,7,24,14,7,0,24,28,7,17,9,17,2,2,0,2,26,42,493,26,45,329,35,81,37,226,532,549,0,1,2,1,8,80,3,29,18.15,17.73,66441,ESPN,University of Missouri-Columbia,38.94531,-92.328843,University of Illinois at Urbana-Champaign,40.104718,-88.229114,,,2025-10-25 15:33:50
2008,1,2008-08-31,7:30 PM,regular,Colorado State,Colorado,,,mwc,big12,True,17,38,0,14,3,0,0,0,21,7,10,0,18,19,2,12,5,11,1,4,2,2,27,38,214,20,29,214,26,71,36,153,258,367,0,1,2,1,4,18,8,58,19.35,16.43,69619,,University of Colorado Boulder,40.008781,-105.270823,Colorado State University-Fort Collins,40.574805,-105.080732,,,2025-10-25 15:33:50
