cfb_school,nces_name,processed_date,latitude,longitude
Abilene Christian,Abilene Christian University,2025-10-24T01:07:19.903300,32.468943,-99.709797
Air Force,United States Air Force Academy,2025-10-24T01:07:19.903300,39.010957,-104.891358
Akron,University of Akron Main Campus,2025-10-24T01:07:19.903300,41.078551,-81.511679
Alabama,The University of Alabama,2025-10-24T01:07:19.903300,33.211875,-87.545978
Alabama A&M,Alabama A & M University,2025-10-24T01:07:19.903300,34.783368,-86.568502
Alabama State,Alabama State University,2025-10-24T01:07:19.903300,32.364317,-86.295677
Albany,SUNY at Albany,2025-10-24T01:07:19.903300,42.685489,-73.824662
Alcorn State,Alcorn State University,2025-10-24T01:07:19.903300,31.877216,-91.142854
Appalachian State,Appalachian State University,2025-10-24T01:07:19.903300,36.215536,-81.680583
Arizona,University of Arizona,2025-10-24T01:07:19.903300,32.232672,-110.950815
Arizona State,Arizona State University Campus Immersion,2025-10-24T01:07:19.903300,33.417721,-111.934383
Arkansas,University of Arkansas,2025-10-24T01:07:19.903300,36.070009,-94.176981
Arkansas State,Arkansas State University,2025-10-24T01:07:19.903300,35.842388,-90.679988
Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,2025-10-24T01:07:19.903300,34.244031,-92.018683
Army,United States Military Academy,2025-10-24T01:07:19.903300,41.390479,-73.956603
Auburn,Auburn University,2025-10-24T01:07:19.903300,32.599378,-85.488258
Austin Peay,Austin Peay State University,2025-10-24T01:07:19.903300,36.533319,-87.354081
BYU,Brigham Young University-Provo,2025-10-24T01:07:19.903300,40.250851,-111.649281
Ball State,Ball State University,2025-10-24T01:07:19.903300,40.203431,-85.409043
Baylor,Baylor University,2025-10-24T01:07:19.903300,31.546872,-97.121041
Bethune Cookman,Bethune-Cookman University,2025-10-24T01:07:19.903300,29.207195,-81.032946
Boise State,Boise State University,2025-10-24T01:07:19.903300,43.604284,-116.203301
Boston College,Boston College,2025-10-24T01:07:19.903300,42.336213,-71.169242
Bowling Green,Bowling Green State University-Main Campus,2025-10-24T01:07:19.903300,41.375513,-83.640896
Bryant,Bryant University,2025-10-24T01:07:19.903300,41.920092,-71.539547
Bucknell,Bucknell University,2025-10-24T01:07:19.903300,40.954317,-76.882616
Buffalo,University at Buffalo,2025-10-24T01:07:19.903300,43.000942,-78.789458
Cal Poly SLO,California Polytechnic State University-San Luis Obispo,2025-10-24T01:07:19.903300,35.299513,-120.657311
California,University of California-Berkeley,2025-10-24T01:07:19.903300,37.871918,-122.260463
Campbell,Campbell University,2025-10-24T01:07:19.903300,35.409149,-78.738238
Central Arkansas,University of Central Arkansas,2025-10-24T01:07:19.903300,35.077945,-92.457672
Central Conn. State,Central Connecticut State University,2025-10-24T01:07:19.903300,41.692502,-72.765991
Central Michigan,Central Michigan University,2025-10-24T01:07:19.903300,43.591203,-84.77525
Charleston Southern,Charleston Southern University,2025-10-24T01:07:19.903300,32.983047,-80.072587
Charlotte,University of North Carolina at Charlotte,2025-10-24T01:07:19.903300,35.306022,-80.730919
Chattanooga,The University of Tennessee-Chattanooga,2025-10-24T01:07:19.903300,35.047519,-85.300247
Cincinnati,University of Cincinnati-Main Campus,2025-10-24T01:07:19.903300,39.131159,-84.51428
Citadel,Citadel Military College of South Carolina,2025-10-24T01:07:19.903300,32.797183,-79.958775
Clemson,Clemson University,2025-10-24T01:07:19.903300,34.679381,-82.835114
Coastal Carolina,Coastal Carolina University,2025-10-24T01:07:19.903300,33.794995,-79.011767
Colgate,Colgate University,2025-10-24T01:07:19.903300,42.819475,-75.536346
Colorado,University of Colorado Boulder,2025-10-24T01:07:19.903300,40.008781,-105.270823
Colorado State,Colorado State University-Fort Collins,2025-10-24T01:07:19.903300,40.574805,-105.080732
Connecticut,University of Connecticut,2025-10-24T01:07:19.903300,41.809098,-72.249948
Delaware,University of Delaware,2025-10-24T01:07:19.903300,39.679577,-75.752822
Delaware State,Delaware State University,2025-10-24T01:07:19.903300,39.187173,-75.54053
Drake,Drake University,2025-10-24T01:07:19.903300,41.60129,-93.652163
Duke,Duke University,2025-10-24T01:07:19.903300,36.001135,-78.937624
Duquesne,Duquesne University,2025-10-24T01:07:19.903300,40.43589,-79.993123
East Carolina,East Carolina University,2025-10-24T01:07:19.903300,35.607186,-77.368291
East Tennessee State,East Tennessee State University,2025-10-24T01:07:19.903300,36.301643,-82.366954
East Texas A&M,Texas A & M University-Commerce,2025-10-24T01:07:19.903300,33.243745,-95.908451
Eastern Illinois,Eastern Illinois University,2025-10-24T01:07:19.903300,39.479843,-88.175658
Eastern Kentucky,Eastern Kentucky University,2025-10-24T01:07:19.903300,37.740845,-84.300796
Eastern Michigan,Eastern Michigan University,2025-10-24T01:07:19.903300,42.251675,-83.627443
Eastern Washington,Eastern Washington University,2025-10-24T01:07:19.903300,47.490667,-117.583808
Elon University,Elon University,2025-10-24T01:07:19.903300,36.104148,-79.50344
FIU,Florida International University,2025-10-24T01:07:19.903300,25.75732,-80.373928
Florida,University of Florida,2025-10-24T01:07:19.903300,29.64629,-82.347911
Florida A&M,Florida Agricultural and Mechanical University,2025-10-24T01:07:19.903300,30.428504,-84.290226
Florida Atlantic,Florida Atlantic University,2025-10-24T01:07:19.903300,26.372421,-80.102978
Florida State,Florida State University,2025-10-24T01:07:19.903300,30.440756,-84.291921
Fordham,Fordham University,2025-10-24T01:07:19.903300,40.859354,-73.882705
Fresno State,California State University-Fresno,2025-10-24T01:07:19.903300,36.811154,-119.744569
